$DATA1 SOURCE='HSPICE' VERSION='I-2013.12-SP1-1 32-BIT'
$OPTION MEASFORM=1
.TITLE '****summer 2017 necrl stt latch wite path monte carlo analysis****'
index 1:vdvtn@dvtn_intra 5:vdvtn@dvtn_intra 2:vdvtn@dvtn_intra 3:vdvtp@dvtp_intra 6:vdvtp@dvtp_intra 4:vdvtp@dvtp_intra 7:r1@dr_intra 8:r1@dr_intra 7:tox1@dt_intra 8:tox1@dt_intra 9:mc_cnr_rnd@9:mc_cnr_round 10:mc_cnr_rnd@10:mc_cnr_round 11:mc_cnr_rnd@11:mc_cnr_round 12:mc_cnr_rnd@12:mc_cnr_round 13:mc_cnr_rnd@13:mc_cnr_round 14:mc_cnr_rnd@14:mc_cnr_round ntrh ntdh1 ntrl1 ntdl ntdh2 ntrl2 temper alter#
53  4.131e-04  3.238e-02  2.651e-02 -2.342e-03  4.260e-03  1.316e-02  2.064e-08  2.339e-08  8.826e-10  1.016e-09 -4.085e-02  9.731e-02  1.606e-02   -0.1916   -0.2867  2.385e-02    3.1416    3.1416  1.173e-21 -2.516e-20    3.1416  1.173e-21  110.0000 1
54 -9.851e-05 -8.411e-03 -8.481e-03  2.035e-02 -5.286e-03 -5.961e-03  2.211e-08  1.985e-08  1.055e-09  1.076e-09 -2.101e-02   -0.2209    0.3588   -0.7334 -9.504e-03   -0.1887    3.1416    3.1416  9.170e-20  1.056e-18    3.1416  9.170e-20  110.0000 1
55  1.021e-02  2.607e-03 -3.758e-03  4.538e-03 -7.614e-03  1.237e-02  2.401e-08  2.376e-08  1.021e-09  1.126e-09    0.1398   -0.6714   -0.2735    0.2217  2.950e-02   -0.4059    3.1416    3.1416  1.617e-21  7.861e-24    0.6834  1.617e-21  110.0000 1
56  1.855e-02  2.293e-02  2.666e-02 -1.290e-02 -3.606e-03 -1.721e-03  1.954e-08  2.214e-08  1.025e-09  1.182e-09  6.517e-02 -9.655e-02    0.2333 -6.378e-02   -0.3610 -7.468e-02    3.1416    3.1416 -1.525e-18  1.925e-24    0.8548 -1.525e-18  110.0000 1
57 -2.415e-02  1.340e-02  1.717e-02 -9.470e-03 -2.502e-02 -4.050e-02  2.151e-08  2.179e-08  9.386e-10  1.090e-09    0.1557   -0.1961 -6.823e-02   -0.1595    0.1231   -0.5028    3.1416    3.1416 -5.366e-21 -2.837e-25    3.1416 -5.366e-21  110.0000 1
58 -1.552e-02 -2.484e-04  2.411e-02 -1.130e-02  7.245e-03  7.402e-03  2.050e-08  2.524e-08  1.228e-09  8.140e-10    0.1525  3.321e-02   -0.1038   -0.7186   -0.4302   -0.4696    3.1418    3.1416  9.207e-19    0.    3.1416  9.207e-19  110.0000 1
59 -1.144e-02  3.060e-02  6.649e-03  1.475e-02 -8.656e-03 -1.322e-02  1.938e-08  2.362e-08  1.033e-09  9.291e-10  3.463e-02    0.3430    0.2333  9.343e-02  3.207e-02 -4.283e-02    3.1416    3.1416  1.012e-17 -7.391e-26    3.1416  1.012e-17  110.0000 1
60  5.940e-03 -1.944e-02 -3.158e-02  1.279e-03  1.873e-02 -2.058e-02  2.058e-08  2.057e-08  9.171e-10  1.212e-09    0.5343    0.1797    0.3266   -0.2408    0.5903   -0.3043    3.1416    3.1416 -7.415e-20  2.149e-24    0.7826 -7.415e-20  110.0000 1
61  6.400e-03 -1.469e-02 -9.676e-03  1.593e-03  3.168e-02 -2.417e-02  2.152e-08  2.155e-08  1.174e-09  9.296e-10   -0.1785   -0.1593    0.3258 -5.609e-02    0.3654   -0.1080    3.1416    3.1416 -2.414e-23  5.317e-26    3.1416 -2.414e-23  110.0000 1
62 -1.500e-02 -3.172e-02  1.973e-02  1.058e-02  2.585e-02 -2.698e-02  2.392e-08  1.959e-08  9.301e-10  1.125e-09   -0.2588   -0.5548 -3.440e-02    0.4572   -0.1718    0.3882    3.1416    3.1416  1.156e-19 -1.134e-20    0.8205  1.156e-19  110.0000 1
63 -4.611e-02  1.206e-02 -5.306e-03 -2.757e-02 -2.499e-02 -8.842e-03  1.724e-08  2.711e-08  1.038e-09  9.710e-10    0.7243 -7.299e-02   -0.2487  1.362e-02    0.7251   -0.4599    3.1416    3.1416  2.076e-18  7.002e-23    3.1416  2.076e-18  110.0000 1
